"","pos","name","date","time","map"
"21283","1","Lofas","29/10/13","199.511","ashtonsjumps4"
"21284","1","Lofas","30/01/14","44.285","ashtonsjumps5"
"21285","1","yogurt","18/04/17","36.596","astejumpz1"
"21286","1","Lofas","31/07/15","9.913","atr_jump3"
"21288","1","n00k!e","27/12/15","13.638","atr_kjump"
"21290","1","Stoner","20/09/12","6.277","atr_kjump1"
"21292","1","KroPP","06/01/15","23.169","atr_kjump10"
"21293","1","n00k!e","15/09/15","7.317","atr_kjump11"
"21295","1","Lofas","06/10/14","3.704","atr_kjump2"
"21297","1","Lofas","18/08/14","8.660","atr_kjump3"
"21298","1","KroPP","08/07/13","11.514","atr_kjump4"
"21300","1","KroPP","02/04/15","13.513","atr_kjump5"
"21302","1","KroPP","26/06/13","47.514","atr_kjump6"
"21303","1","Casper","19/03/15","24.218","atr_kjump8"
"21305","1","KroPP","16/01/15","9.649","atr_kjump9"
"21307","1","prd","18/01/17","94.957","azteklights"
"21308","1","mule_0wnz","16/06/16","13.729","b-stk"
"21310","1","KroPP","01/03/14","20.975","b0at10"
"21311","1","KroPP","01/03/14","62.278","b0at11"
"21312","1","KroPP","16/06/14","22.098","b0at12"
"21313","1","Lofas","01/03/14","12.117","b0at14"
"21314","1","KroPP","04/10/15","18.517","b0at16"
"21315","1","Lofas","24/11/14","18.399","b0at17"
"21316","1","prd","11/09/16","4.789","b0at17_5"
"21317","1","Lofas","02/09/14","21.266","b0at18"
"21318","1","yogurt","09/11/16","21.311","b0at19"
"21319","1","KroPP","08/07/14","17.600","b0at20"
"21320","1","[3M.ROSS]","30/09/14","44.315","b0at21"
"21321","1","Lofas","17/08/15","6.553","b0at22"
"21323","1","KroPP","19/06/14","27.268","b0atnewb1"
"21324","1","KroPP","19/06/14","23.157","b0atnewb2"
"21325","1","KroPP","01/07/14","28.713","b0atnewb3"
"21326","1","ds.ads","03/05/15","11.940","b0atnewb4"
"21327","1","Lofas","03/05/15","26.565","b0atnewb5"
"21328","1","prd","10/09/16","7.016","baldyjump"
"21330","1","APKIS","08/01/16","13.809","ballspillin"
"21332","1","Goblin","28/06/15","20.783","bas1cjump"
"21334","1","GreenJumper","04/05/14","24.889","beachjumping"
"21335","1","a2ha","10/01/16","19.497","beanjump"
"21337","1","Lofas","29/07/12","10.372","bibpro1"
"21339","1","Lofas","13/11/14","9.230","bibpro2"
"21341","1","KroPP","08/01/15","11.098","bibpro3"
"21343","1","n00k!e","11/05/13","7.092","bibpro4"
"21344","1","APKIS","19/02/15","11.445","bibpro5"
"21345","1","Lofas","15/09/14","5.731","bigjump"
"21347","1","n00k!e","09/04/15","27.663","bigjump1"
"21348","1","n00k!e","24/10/14","59.228","bigrace"
"21349","1","KroPP","05/07/13","33.629","bja"
